,,,,
Saldos de productos,,,,
COLOMBIANA DE SABORES S.A.S. COLSABOR S.A.S.,,,,
811003961-9,,,,
"Miércoles, 31 de Diciembre de 2025 ",,,,
,,,,
,,,,
Código producto,Nombre producto,Referencia de fábrica,Saldo cantidades,
Producto: 101227 - R227,,,835.00,
Bodega: 6 - COLSABOR UNICA,,,835.00,
101227,R227,,835.00,
Producto: 101228 - R228,,,466.00,
Bodega: 5 - BODEGA 5,,,466.00,
101228,R228,,466.00,
Producto: 101229 - R229,,,"1,788.00",
Bodega: 6 - COLSABOR UNICA,,,"1,788.00",
101229,R229,,"1,788.00",
Producto: 101230 - R230,,,"26,768.91",
Bodega: 6 - COLSABOR UNICA,,,"26,768.91",
101230,R230,,"26,768.91",
Producto: 101231 - R231,,,97.56,
Bodega: 5 - BODEGA 5,,,97.56,
101231,R231,,97.56,
Producto: 101232 - R232,,,858.00,
Bodega: 6 - COLSABOR UNICA,,,858.00,
101232,R232,,858.00,
Producto: 101234 - R234,,,415.98,
Bodega: 5 - BODEGA 5,,,415.98,
101234,R234,,415.98,
Producto: 101235 - R235,,,395.98,
Bodega: 5 - BODEGA 5,,,395.98,
101235,R235,,395.98,
Producto: 101237 - R237,,,879.94,
Bodega: 6 - COLSABOR UNICA,,,879.94,
101237,R237,,879.94,
Producto: 101238 - R238,,,-0.17,
Bodega: 5 - BODEGA 5,,,-0.17,
101238,R238,,-0.17,
Producto: 101241 - R241,,,883.00,
Bodega: 6 - COLSABOR UNICA,,,883.00,
101241,R241,,883.00,
Producto: 101242 - R242,,,500.00,
Bodega: 5 - BODEGA 5,,,580.00,
101242,R242,,580.00,
Bodega: 6 - COLSABOR UNICA,,,-80.00,
101242,R242,,-80.00,
Producto: 101244 - R244,,,270.55,
Bodega: 5 - BODEGA 5,,,270.55,
101244,R244,,270.55,
Producto: 101245 - R245,,,"1,881.48",
Bodega: 6 - COLSABOR UNICA,,,"1,881.48",
101245,R245,,"1,881.48",
Producto: 101247 - R247,,,395.00,
Bodega: 5 - BODEGA 5,,,395.00,
101247,R247,,395.00,
Producto: 101249 - R249,,,"82,991.20",
Bodega: 6 - COLSABOR UNICA,,,"82,991.20",
101249,R249,,"82,991.20",
Producto: 101250 - R250,,,"4,219.00",
Bodega: 5 - BODEGA 5,,,9.00,
101250,R250,,9.00,
Bodega: 6 - COLSABOR UNICA,,,"4,210.00",
101250,R250,,"4,210.00",
Producto: 101251 - R251,,,974.00,
