,,,,,,,,,,,
Ventas por producto,,,,,,,,,,,
COLOMBIANA DE SABORES S.A.S. COLSABOR S.A.S.,,,,,,,,,,,
811003961-9,,,,,,,,,,,
De Enero 01 2025 a Diciembre 31 2025 ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Código producto,Nombre producto,Referencia fábrica,Grupo inventario,Cantidad vendida,Valor bruto,Descuento,Subtotal,Impuesto cargo,Impuesto retención,Total,
30313,ESENCIA COLSABOR CHICLE X 500 CC,,PRODUCTO TERMINADO,206.00,"1,637,784.00",0.00,"1,637,784.00","311,178.96",0.00,"1,948,962.96",
30314,ESENCIA COLSABOR CHOCOLATE X 500 CC,,PRODUCTO TERMINADO,264.00,"1,554,950.00",0.00,"1,554,950.00","295,440.50",0.00,"1,850,390.50",
30315,ESENCIA COLSABOR BROWNIE X 500 CC,,PRODUCTO TERMINADO,21.00,"117,600.00",0.00,"117,600.00","22,344.00",0.00,"139,944.00",
30316,ESENCIA COLSABOR FRAMBUESA X 500 CC,,PRODUCTO TERMINADO,11.00,"84,850.00",0.00,"84,850.00","16,121.50",0.00,"100,971.50",
30317,ESENCIA COLSABOR FRESA X 500 CC,,PRODUCTO TERMINADO,531.00,"4,148,487.00",0.00,"4,148,487.00","788,212.53",0.00,"4,936,699.53",
30318,ESENCIA COLSABOR GUANABANA X 500 CC,,PRODUCTO TERMINADO,38.00,"263,950.00",0.00,"263,950.00","50,150.50",0.00,"314,100.50",
30319,ESENCIA COLSABOR HINOJO X 500 CC,,PRODUCTO TERMINADO,744.00,"5,391,652.00","12,166.56","5,379,485.44","1,022,102.23",0.00,"6,401,587.67",
30320,ESENCIA COLSABOR LECHE CONDENSADA X 500 CC,,PRODUCTO TERMINADO,"1,013.00","7,621,726.00",0.00,"7,621,726.00","1,448,127.94",0.00,"9,069,853.94",
30321,ESENCIA COLSABOR LIMON X 500 CC,,PRODUCTO TERMINADO,89.00,"631,250.00",0.00,"631,250.00","119,937.50",0.00,"751,187.50",
30322,ESENCIA COLSABOR MANDARINA X 500 CC,,PRODUCTO TERMINADO,47.00,"329,300.00",0.00,"329,300.00","62,567.00",0.00,"391,867.00",
30323,ESENCIA COLSABOR MANGO X 500 CC,,PRODUCTO TERMINADO,14.00,"107,150.00",0.00,"107,150.00","20,358.50",0.00,"127,508.50",
30324,ESENCIA COLSABOR MANI X 500 CC,,PRODUCTO TERMINADO,82.00,"644,452.00","8,596.56","635,855.44","120,812.53",0.00,"756,667.97",
30325,ESENCIA COLSABOR MANTECADO X 500 CC,,PRODUCTO TERMINADO,470.00,"3,661,290.00",0.00,"3,661,290.00","695,645.10",0.00,"4,356,935.10",
30326,ESENCIA COLSABOR MANTEQUILLA X 500 CC,,PRODUCTO TERMINADO,"2,803.00","21,632,068.00","14,327.60","21,617,740.40","4,107,370.67",0.00,"25,725,111.07",
30327,ESENCIA COLSABOR MANZANA ROJA X 500 CC,,PRODUCTO TERMINADO,13.00,"91,550.00",0.00,"91,550.00","17,394.50",0.00,"108,944.50",
30328,ESENCIA COLSABOR MANZANA VERDE X 500 CC,,PRODUCTO TERMINADO,56.00,"373,100.00",0.00,"373,100.00","70,889.00",0.00,"443,989.00",
30329,ESENCIA COLSABOR MARACUYA X 500 CC,,PRODUCTO TERMINADO,173.00,"1,258,816.00",0.00,"1,258,816.00","239,175.04",0.00,"1,497,991.04",
30330,ESENCIA COLSABOR MARGARINA X 500 CC,,PRODUCTO TERMINADO,57.00,"335,800.00",0.00,"335,800.00","63,802.00",0.00,"399,602.00",
30331,ESENCIA COLSABOR MIEL X 500 CC,,PRODUCTO TERMINADO,294.00,"2,201,220.00",0.00,"2,201,220.00","418,231.80",0.00,"2,619,451.80",
30332,ESENCIA COLSABOR MORA X 500 CC,,PRODUCTO TERMINADO,37.00,"270,750.00",0.00,"270,750.00","51,442.50",0.00,"322,192.50",
30333,ESENCIA COLSABOR NARANJA X 500 CC,,PRODUCTO TERMINADO,480.00,"3,303,750.00",0.00,"3,303,750.00","627,712.50",0.00,"3,931,462.50",
30335,ESENCIA COLSABOR NUEZ MOSCADA X 500 CC,,PRODUCTO TERMINADO,12.00,"74,434.00","2,865.52","71,568.48","13,598.01",0.00,"85,166.49",
30336,ESENCIA COLSABOR PANETON X 500 CC,,PRODUCTO TERMINADO,84.00,"728,754.00",0.00,"728,754.00","138,463.26",0.00,"867,217.26",
30337,ESENCIA COLSABOR PIÑA X 500 CC,,PRODUCTO TERMINADO,265.00,"1,733,290.00",0.00,"1,733,290.00","329,325.10",0.00,"2,062,615.10",
30338,ESENCIA COLSABOR PONQUE X 500 CC,,PRODUCTO TERMINADO,350.00,"2,202,869.06",0.00,"2,202,869.06","418,545.12",0.00,"2,621,414.18",
30339,ESENCIA COLSABOR QUESO X 500 C,,PRODUCTO TERMINADO,"1,016.00","7,604,071.00",0.00,"7,604,071.00","1,444,773.49",0.00,"9,048,844.49",
30340,ESENCIA COLSABOR RON ROYALE X 500 CC,,PRODUCTO TERMINADO,22.00,"169,863.00",0.00,"169,863.00","32,273.97",0.00,"202,136.97",
30341,ESENCIA COLSABOR RON CON PASAS X 500 CC,,PRODUCTO TERMINADO,399.00,"2,812,422.00","51,579.36","2,760,842.64","524,560.08",0.00,"3,285,402.72",
30344,ESENCIA COLSABOR UVA X 500 CC,,PRODUCTO TERMINADO,43.00,"272,150.00",0.00,"272,150.00","51,708.50",0.00,"323,858.50",
30347,ESENCIA COLSABOR VINO X 500 CC,,PRODUCTO TERMINADO,42.00,"304,500.00",0.00,"304,500.00","57,855.00",0.00,"362,355.00",
30349,ESENCIA COLSABOR MELOCOTON X 500 CC,,PRODUCTO TERMINADO,37.00,"237,700.00",0.00,"237,700.00","45,163.00",0.00,"282,863.00",
30350,ESENCIA COLSABOR AMARETO X 500 CC,,PRODUCTO TERMINADO,56.00,"391,858.00","34,386.24","357,471.76","67,919.62",0.00,"425,391.38",
30351,ESENCIA COLSABOR HUMO X 500 CC,,PRODUCTO TERMINADO,4.00,"27,650.00",0.00,"27,650.00","5,253.50",0.00,"32,903.50",
30352,ESENCIA COLSABOR MENTA X 500CC,,PRODUCTO TERMINADO,66.00,"490,292.00",0.00,"490,292.00","93,155.48",0.00,"583,447.48",
